ID, MSE, PSNR, SSIM, LPIPS
178, 0.00407169, 23.90225776, 0.85892588, 0.18675345 
179, 0.00399589, 23.98386447, 0.85925794, 0.19851799 
180, 0.00393066, 24.05534422, 0.86047202, 0.18193397 
181, 0.00398405, 23.99674978, 0.85953009, 0.19519240 
182, 0.00405125, 23.92410763, 0.86000556, 0.18567312 
183, 0.00399926, 23.98020788, 0.85915363, 0.18790850 
184, 0.00393613, 24.04930454, 0.85949945, 0.19113086 
185, 0.00384497, 24.15107160, 0.85790384, 0.19211340 
186, 0.00377003, 24.23655450, 0.85836965, 0.18988879 
187, 0.00369514, 24.32369662, 0.85895354, 0.19426532 
188, 0.00356158, 24.48356689, 0.86198378, 0.19065079 
189, 0.00345402, 24.61675004, 0.86487228, 0.18000838 
190, 0.00334154, 24.76053730, 0.86640960, 0.18789852 
191, 0.00335068, 24.74867047, 0.86807299, 0.18503316 
192, 0.00335936, 24.73743463, 0.87002605, 0.18508491 
193, 0.00333169, 24.77335038, 0.87245935, 0.18330316 
194, 0.00323941, 24.89534612, 0.87544149, 0.17886166 
195, 0.00307905, 25.11582735, 0.87943614, 0.17842753 
196, 0.00287273, 25.41705873, 0.88351071, 0.17567392 
197, 0.00254016, 25.95138574, 0.89125001, 0.16539966 
198, 0.00237183, 26.24916582, 0.89394408, 0.16121288 
199, 0.00212385, 26.72876173, 0.89982915, 0.15402094 
AVERAGES: 0.0035, 25.422, 0.877, 0.194
