ID, MSE, PSNR, SSIM, LPIPS
183, 0.00281185, 25.51008491, 0.70395249, 0.41113356 
184, 0.00279188, 25.54102792, 0.70224392, 0.40612850 
185, 0.00270119, 25.68444706, 0.70429611, 0.41286188 
186, 0.00269650, 25.69200375, 0.70249796, 0.41794407 
187, 0.00278302, 25.55483014, 0.70268631, 0.41836059 
188, 0.00284659, 25.45674724, 0.69846761, 0.42165741 
189, 0.00290455, 25.36921013, 0.69739676, 0.42040581 
190, 0.00285699, 25.44090983, 0.69961101, 0.41337335 
191, 0.00295598, 25.29298626, 0.69072157, 0.42078128 
192, 0.00297742, 25.26160052, 0.69254863, 0.42119852 
193, 0.00295750, 25.29075889, 0.69442481, 0.41287276 
194, 0.00302114, 25.19828831, 0.69711637, 0.42355999 
195, 0.00305559, 25.14905387, 0.69359881, 0.42886552 
196, 0.00310657, 25.07718353, 0.69239265, 0.42452231 
197, 0.00320200, 24.94579029, 0.69087958, 0.42902532 
198, 0.00326723, 24.85820199, 0.68765849, 0.43166962 
199, 0.00334647, 24.75412919, 0.69040388, 0.42537582 
AVERAGES: 0.0026, 25.818, 0.714, 0.417
