ID, MSE, PSNR, SSIM, LPIPS
167, 0.00127963, 28.92914718, 0.92664546, 0.14291543 
168, 0.00138045, 28.59979766, 0.92350417, 0.15233904 
169, 0.00112549, 29.48658156, 0.92580104, 0.14816919 
170, 0.00108391, 29.65006591, 0.92545915, 0.15535901 
171, 0.00106694, 29.71858335, 0.92641282, 0.15632395 
172, 0.00126792, 28.96907664, 0.92435735, 0.15202241 
173, 0.00155360, 28.08661255, 0.91648334, 0.15701033 
174, 0.00153149, 28.14885040, 0.91437680, 0.17195785 
175, 0.00133231, 28.75393299, 0.91355067, 0.15918411 
176, 0.00114452, 29.41376699, 0.91230559, 0.16775486 
177, 0.00093723, 30.28154973, 0.91636413, 0.16632049 
178, 0.00083587, 30.77861209, 0.91728401, 0.16429891 
179, 0.00081962, 30.86389531, 0.91713828, 0.15784615 
180, 0.00084196, 30.74707810, 0.91439736, 0.16427144 
181, 0.00086318, 30.63897708, 0.91214681, 0.16277865 
182, 0.00085268, 30.69213682, 0.91112739, 0.16553341 
183, 0.00079582, 30.99185929, 0.91358191, 0.15722954 
184, 0.00081153, 30.90695927, 0.91192287, 0.16638783 
185, 0.00072722, 31.38336427, 0.91442543, 0.15805954 
186, 0.00068090, 31.66917331, 0.91486788, 0.16151662 
187, 0.00080065, 30.96556037, 0.91090649, 0.16996813 
188, 0.00081614, 30.88234761, 0.90988827, 0.17563587 
189, 0.00082743, 30.82270880, 0.90775186, 0.17417277 
190, 0.00084324, 30.74046639, 0.90621841, 0.18004908 
191, 0.00095151, 30.21584447, 0.90380901, 0.17628787 
192, 0.00104753, 29.79835180, 0.90213037, 0.18232808 
193, 0.00104947, 29.79031448, 0.90302312, 0.17671847 
194, 0.00097803, 30.09647809, 0.90606475, 0.17369545 
195, 0.00103120, 29.86656779, 0.90590143, 0.17905694 
196, 0.00094979, 30.22371102, 0.91006804, 0.17848831 
197, 0.00087769, 30.56660042, 0.91309708, 0.17905259 
198, 0.00092427, 30.34202447, 0.91400892, 0.18146785 
199, 0.00097815, 30.09592500, 0.91379440, 0.18045408 
AVERAGES: 0.0014, 28.684, 0.921, 0.154
